T,loc,demand,price
4,Apodaca,669608538.5,14.202045382838694
4,Bahía de Banderas,69364730.421875,14.001673620114838
4,Baja California Sur_aggregate(5),640624847.5,28.190964795044064
4,Baja California_aggregate(5),1754731262.5,23.52712746181113
4,Benito Juárez,1066829741.75,17.179140348851433
4,Cajeme,392813061.125,13.074465596114457
4,Campeche,172141170.21875,13.065203726940236
4,Campeche_aggregate(10),123771077.28125,13.991610638981541
4,Carmen,129125896.28125,15.232051876917334
4,Celaya,357551959.5,18.63306270054977
4,Centro,499608652.25,13.24725550082805
4,Chiapas_aggregate(101),966202185.0,15.082051524998487
4,Chihuahua,944898258.75,14.040429934774542
4,Chihuahua_aggregate(31),828314310.125,22.823307030934295
4,Chilpancingo de los Bravo,172616176.125,17.14706157773958
4,Ciudad de México_aggregate(14),5380269875.0,26.894501497895643
4,Coahuila de Zaragoza_aggregate(27),749409431.5,21.877777590488325
4,Colima_aggregate(10),2655067740.5,15.443651962962745
4,Cuautla,162849643.1875,12.446111298727281
4,Cuernavaca,389280396.1875,16.644859654250954
4,Culiacán,1339573329.0,15.465823621429946
4,Cárdenas,122332565.875,14.01950929670049
4,Durango,936552018.75,16.671144941904533
4,Durango_aggregate(26),605837945.125,26.55747233851048
4,Ecatepec de Morelos,926338257.5,13.888375741770751
4,Fresnillo,145161120.65625,18.955787470097558
4,Guadalajara,935559639.5,19.724149912149265
4,Guadalupe,541589169.375,25.400027044800925
4,Guanajuato_aggregate(39),1806244589.5,16.616438693496153
4,Guerrero_aggregate(66),805670945.875,25.58593189398562
4,Gustavo A. Madero,1003154495.75,26.673023850175507
4,Gómez Palacio,465872582.375,20.5457475945052
4,Hermosillo,1071452280.75,14.620821278122095
4,Hidalgo_aggregate(58),2999807037.0,25.656973902795162
4,Irapuato,527187180.25,26.029188769277013
4,Iztapalapa,1731867176.25,26.392866655541674
4,Jalisco_aggregate(106),2947217028.0,18.654199795494286
4,Jiutepec,192722241.3125,12.297369913082164
4,Juárez,1375378873.5,13.254712012141953
4,León,1338298073.25,24.954424288669777
4,Matamoros,756273045.25,14.447686602891373
4,Mazatlán,683632875.75,19.990528844868724
4,Michoacán de Ocampo_aggregate(102),2151577150.5,15.629225730075902
4,Monterrey,1023023674.5,26.110038570443493
4,Morelia,670319875.125,18.82928581560996
4,Morelos_aggregate(32),816414926.0,12.61844671344107
4,Mérida,1591875490.0,25.870086513197233
4,México_aggregate(117),6030109837.0,17.981929641432803
4,Nayarit_aggregate(17),138883811.78125,12.75180182031372
4,Nogales,271561732.1875,16.24055055294788
4,Nuevo Laredo,625524341.875,15.765400872479539
4,Nuevo León_aggregate(33),2855637056.5,17.60110469351647
4,Oaxaca de Juárez,215302726.15625,16.979963848289284
4,Oaxaca_aggregate(159),1508881305.0,14.00642681222625
4,Pachuca de Soto,552638996.375,13.765565859389948
4,Puebla,850622011.5,12.275404888877969
